AssetID,ClientID,AssetName,AssetType,AssetEnvironment,AssetBusinessCriticality,AssetIPAddressOrHostname,AssetStatus
1,53,SWI-053-00001,Switch,Test,Medium,10.53.0.1,Planned
2,179,CLO-179-00002,CloudVM,Prod,High,10.179.0.2,Retired
3,156,ROU-156-00003,Router,Test,Medium,10.156.0.3,Retired
4,142,DAT-142-00004,Database,Prod,High,10.142.0.4,Active
5,30,CLO-030-00005,CloudVM,Prod,Low,10.30.0.5,Active
6,128,SWI-128-00006,Switch,Dev,Medium,10.128.0.6,Active
7,121,ROU-121-00007,Router,Staging,Low,ROU-121-00007,Active
8,49,FIR-049-00008,Firewall,Prod,Medium,10.49.0.8,Active
9,107,WEB-107-00009,WebApp,Dev,High,WEB-107-00009,Active
10,77,CLO-077-00010,CloudVM,Test,Medium,10.77.0.10,Active
11,89,WEB-089-00011,WebApp,Staging,Medium,10.89.0.11,Active
12,49,ROU-049-00012,Router,Staging,High,10.49.0.12,Retired
13,106,SER-106-00013,Server,Dev,Low,10.106.0.13,Active
14,98,DAT-098-00014,Database,Test,Medium,10.98.0.14,Active
15,33,WEB-033-00015,WebApp,Prod,Medium,WEB-033-00015,Retired
16,117,SER-117-00016,Server,Test,Medium,10.117.0.16,Planned
17,40,WOR-040-00017,Workstation,Staging,Medium,WOR-040-00017,Active
18,178,DAT-178-00018,Database,Prod,Medium,10.178.0.18,Retired
19,137,DAT-137-00019,Database,Dev,Low,10.137.0.19,Planned
20,195,CLO-195-00020,CloudVM,Prod,Low,CLO-195-00020,Retired
21,162,SWI-162-00021,Switch,Test,Low,SWI-162-00021,Active
22,26,WOR-026-00022,Workstation,Staging,High,10.26.0.22,Active
23,8,SER-008-00023,Server,Dev,High,SER-008-00023,Active
24,96,DAT-096-00024,Database,Test,High,10.96.0.24,Active
25,145,FIR-145-00025,Firewall,Test,High,FIR-145-00025,Active
26,98,ROU-098-00026,Router,Staging,Low,ROU-098-00026,Active
27,119,SWI-119-00027,Switch,Staging,Medium,10.119.0.27,Retired
28,120,SWI-120-00028,Switch,Test,High,10.120.0.28,Active
29,89,SWI-089-00029,Switch,Staging,Low,SWI-089-00029,Retired
30,78,ROU-078-00030,Router,Staging,Medium,ROU-078-00030,Active
31,98,WEB-098-00031,WebApp,Dev,Low,WEB-098-00031,Active
32,169,DAT-169-00032,Database,Dev,High,10.169.0.32,Retired
33,176,SER-176-00033,Server,Staging,Medium,10.176.0.33,Active
34,59,WEB-059-00034,WebApp,Test,Low,WEB-059-00034,Active
35,65,FIR-065-00035,Firewall,Prod,Low,10.65.0.35,Retired
36,80,CLO-080-00036,CloudVM,Prod,Low,CLO-080-00036,Active
37,34,WOR-034-00037,Workstation,Dev,Medium,10.34.0.37,Active
38,45,ROU-045-00038,Router,Test,Low,10.45.0.38,Retired
39,94,SWI-094-00039,Switch,Test,Medium,10.94.0.39,Active
40,124,SWI-124-00040,Switch,Dev,High,10.124.0.40,Active
41,20,FIR-020-00041,Firewall,Test,Low,10.20.0.41,Active
42,102,WEB-102-00042,WebApp,Prod,Medium,WEB-102-00042,Retired
43,138,WOR-138-00043,Workstation,Staging,Medium,10.138.0.43,Active
44,173,SWI-173-00044,Switch,Staging,Low,10.173.0.44,Planned
45,28,ROU-028-00045,Router,Staging,High,10.28.0.45,Active
46,144,WEB-144-00046,WebApp,Test,Low,WEB-144-00046,Active
47,119,SWI-119-00047,Switch,Staging,High,SWI-119-00047,Active
