ClientID,ClientName,ClientIndustry,ClientSizeCategory,ClientCity,ClientState,ClientIsActive
1,Frontier Analytics Corporation,Community Services,Medium,Memphis,KY,1
2,MetroLink Transportation,Healthcare,Small,Birmingham,AL,1
3,HarborPoint Insurance,Arts,Small,Atlanta,TN,1
4,Golden Gate Logistics,Community Services,Medium,Birmingham,KY,1
5,Skyward Cloud Innovations,Education,Medium,Memphis,KY,0
6,HarborPoint Insurance,Arts,Medium,Birmingham,KY,1
7,MetroLink Transportation,Arts,Large,Knoxville,KY,1
8,IronPeak Manufacturing,Community Services,Medium,Memphis,KY,1
9,BlueRiver Financial Group,Startup,Large,Memphis,GA,1
10,HarborPoint Insurance,Education,Small,Memphis,TN,1
11,MetroLink Transportation,Community Services,Large,Nashville,GA,1
12,HarborPoint Insurance,Education,Medium,Nashville,AL,1
13,BrightPath Consulting,Education,Small,Nashville,KY,1
14,HarborPoint Insurance,Arts,Small,Knoxville,TN,1
15,Atlas Security Services,Healthcare,Small,Atlanta,KY,0
16,Summit Health Partners,Education,Large,Birmingham,TN,1
17,Frontier Analytics Corporation,Faith-Based,Medium,Louisville,GA,1
18,MetroLink Transportation,Arts,Small,Memphis,TN,1
19,Vanguard Hospitality Group,Startup,Small,Birmingham,AL,1
20,IronPeak Manufacturing,Healthcare,Small,Memphis,AL,1
21,Golden Gate Logistics,Faith-Based,Large,Knoxville,TN,1
22,Liberty Credit Union,Faith-Based,Large,Memphis,TN,1
23,BlueRiver Financial Group,Startup,Medium,Nashville,TN,1
24,IronPeak Manufacturing,Healthcare,Large,Louisville,TN,1
25,Pinnacle Retail Holdings,Arts,Small,Chattanooga,AL,1
26,ClearWave Communications,Nonprofit,Medium,Memphis,KY,1
27,Vanguard Hospitality Group,Healthcare,Small,Birmingham,TN,0
28,Skyward Cloud Innovations,Startup,Small,Nashville,TN,1
29,Liberty Credit Union,Faith-Based,Large,Chattanooga,AL,1
30,BlueRiver Financial Group,Arts,Medium,Louisville,AL,1
31,Apex Data Solutions,Healthcare,Large,Chattanooga,GA,1
32,Redwood Media Group,Nonprofit,Large,Nashville,TN,1
33,Summit Health Partners,Nonprofit,Medium,Atlanta,GA,0
34,Apex Data Solutions,Education,Small,Atlanta,AL,1
35,Evergreen Energy Systems,Education,Small,Chattanooga,AL,1
36,Golden Gate Logistics,Community Services,Medium,Knoxville,KY,1
37,Summit Health Partners,Startup,Small,Birmingham,TN,1
38,Pinnacle Retail Holdings,Healthcare,Medium,Birmingham,GA,0
39,Crescent Cyber Defense,Healthcare,Medium,Chattanooga,AL,1
40,Pinnacle Retail Holdings,Community Services,Large,Memphis,AL,1
41,Frontier Analytics Corporation,Faith-Based,Medium,Memphis,GA,1
42,Apex Data Solutions,Faith-Based,Large,Birmingham,KY,1
43,Pinnacle Retail Holdings,Community Services,Small,Birmingham,AL,1
44,Redwood Media Group,Faith-Based,Small,Atlanta,TN,1
45,Atlas Security Services,Education,Small,Knoxville,AL,1
46,BrightPath Consulting,Healthcare,Small,Nashville,TN,1
47,SilverLine Pharmaceuticals,Community Services,Large,Memphis,GA,1
48,Crescent Cyber Defense,Healthcare,Small,Birmingham,TN,1
49,MetroLink Transportation,Nonprofit,Medium,Atlanta,GA,1
50,NorthBridge Technologies,Education,Medium,Louisville,TN,1
51,SilverLine Pharmaceuticals,Arts,Medium,Atlanta,GA,0
52,Golden Gate Logistics,Education,Large,Memphis,TN,0
53,Atlas Security Services,Community Services,Small,Memphis,KY,1
54,Summit Health Partners,Arts,Small,Atlanta,TN,0
55,Summit Health Partners,Nonprofit,Small,Nashville,TN,0
56,ClearWave Communications,Community Services,Large,Chattanooga,KY,1
57,ClearWave Communications,Startup,Medium,Memphis,AL,1
58,MetroLink Transportation,Healthcare,Medium,Atlanta,AL,1
59,Redwood Media Group,Nonprofit,Small,Birmingham,TN,1
60,Pinnacle Retail Holdings,Healthcare,Medium,Atlanta,KY,1
61,Liberty Credit Union,Faith-Based,Medium,Knoxville,TN,1
62,MetroLink Transportation,Startup,Large,Chattanooga,GA,1
63,Skyward Cloud Innovations,Startup,Large,Louisville,GA,1
64,HarborPoint Insurance,Nonprofit,Large,Nashville,TN,1
65,Summit Health Partners,Startup,Large,Louisville,AL,1
66,IronPeak Manufacturing,Arts,Small,Chattanooga,AL,1
67,IronPeak Manufacturing,Startup,Large,Chattanooga,TN,1
