IncAssetID,IncidentID,AssetID,IncAssetRoleInIncident
1,1315,7269,LateralMovement
2,7542,3801,LateralMovement
3,3414,7228,Source
4,7844,344,Unknown
5,1712,3167,Source
6,8576,4710,Target
7,3799,1103,LateralMovement
8,130,5445,Unknown
9,6778,6812,Source
10,5941,1965,Unknown
11,4778,7296,Source
12,3610,2044,Target
13,2844,6563,LateralMovement
14,6780,6650,Source
15,3183,6643,Unknown
16,8313,7454,Source
17,363,3030,Source
18,1082,193,Unknown
19,6740,711,LateralMovement
20,8842,469,Source
21,1398,3699,Source
22,3208,4211,LateralMovement
23,3155,2642,LateralMovement
24,6677,5917,Source
25,7453,1530,Unknown
26,4085,3340,Unknown
27,5668,5866,Target
28,2614,3294,Target
29,2436,2293,Unknown
30,2586,1054,Target
31,550,6460,LateralMovement
32,1319,427,Source
33,8650,4188,Target
34,5083,5682,Target
35,4571,4705,Unknown
36,4160,1833,LateralMovement
37,2868,205,Unknown
38,522,5758,LateralMovement
39,2678,6480,Unknown
40,5561,2885,LateralMovement
41,8844,4657,Source
42,3931,5114,Unknown
43,7933,6161,Source
44,8030,4320,Unknown
45,9985,2943,Source
46,5987,3127,Target
47,2390,2838,LateralMovement
48,3264,7309,Target
49,8075,5243,LateralMovement
50,4799,2367,Unknown
51,3585,171,Unknown
52,9180,1743,Target
53,103,4918,Unknown
54,3133,6502,Unknown
55,4476,2879,Target
56,433,436,Unknown
57,3656,7396,Target
58,5400,2252,Source
59,2076,96,Source
60,1523,3645,Unknown
61,9193,979,Source
62,6369,6646,Target
63,7414,1019,Source
64,358,5110,Source
65,8379,1318,Target
66,5131,3268,LateralMovement
67,7772,4467,LateralMovement
68,7817,2972,LateralMovement
69,750,2500,Source
70,3235,1619,Target
71,9936,6903,Target
72,6658,1905,Target
73,8929,6501,Unknown
74,3507,5292,Target
75,6811,7358,LateralMovement
76,1310,4496,Unknown
77,1054,2149,Source
78,7826,1746,Source
79,4101,6696,Unknown
80,6693,4889,Unknown
81,6476,1122,Unknown
82,959,5107,LateralMovement
83,2822,5733,Unknown
84,5893,4082,LateralMovement
85,1507,293,Unknown
86,1264,1233,Target
87,3991,217,Source
88,7660,4056,Unknown
89,5744,2459,LateralMovement
90,551,1806,Unknown
91,2637,3313,Unknown
92,4228,2864,LateralMovement
93,9320,2563,Source
94,4780,2605,Target
95,7098,4778,Unknown
96,4920,6305,LateralMovement
97,514,5065,Unknown
98,5462,6882,Source
99,1488,2167,Source
100,7581,1140,LateralMovement
101,2122,3986,LateralMovement
102,215,3160,Unknown
103,2029,6197,LateralMovement
104,7615,5047,Target
105,5048,1193,Target
106,1359,6622,Unknown
